# Rise of Europe — Данные по годам
# Формат: ГОД|ТИП|ФЛАГ|НАЗВАНИЕ|СВЕРХДЕРЖАВА(да/нет)
# ТИП: country, superpower, pmc, mo, vice, terror, other

# ===== 1936 =====
2014|country|🇺🇦|Украина|нет
2014|country|🇧🇾|Беларусь|нет
2014|country|🇵🇱|Польша|нет
2014|country|🇹🇼|Тайвань|нет
2014|country|🇮🇷|Иран|нет
2014|country|🇸🇾|Сирия|нет
2014|country|🇹🇷|Турция|нет
2014|country|🇸🇦|Саудовская Аравия|нет
2014|country|🇰🇵|КНДР|нет
2014|country|🇮🇳|Индия|нет
2014|country|🇵🇰|Пакистан|нет
2014|country|🇮🇶|Ирак|нет
2014|country|🇱🇧|Ливан|нет
2014|country|🇯🇵|Япония|нет
2014|country|🇰🇷|Южная Корея|нет
2014|country|🇦🇿|Азербайджан|нет
2014|country|🇦🇲|Армения|нет
2014|country|🇬🇪|Грузия|нет
2014|country|🇷🇸|Сербия|нет
2014|country|🇭🇺|Венгрия|нет
2014|country|🇷🇴|Румыния|нет
2014|country|🇧🇬|Болгария|нет
2014|country|🇬🇷|Греция|нет
2014|country|🇱🇾|Ливия|нет
2014|country|🇾🇪|Йемен|нет
2014|country|🇪🇬|Египет|нет
2014|country|🇹🇳|Тунис|нет
2014|country|🇲🇦|Марокко|нет
2014|country|🇻🇳|Вьетнам|нет
2014|country|🇮🇩|Индонезия|нет
2014|country|🇰🇿|Казахстан|нет
2014|country|🇺🇿|Узбекистан|нет
2014|country|🇦🇫|Афганистан|нет
# Кастомные регионы 2014
2014|country|🇺🇦|ДНР (Донецкая Народная Республика)|нет
2014|country|🇺🇦|ЛНР (Луганская Народная Республика)|нет
2014|country|🇺🇦|Новороссия|нет
2014|country|🇷🇺|Крым (Республика Крым)|нет
2014|mo|🇷🇺|МО России|нет
2014|mo|🇺🇸|МО США|нет
2014|mo|🇩🇪|МО Германии|нет
2014|mo|🇫🇷|МО Франции|нет
2014|mo|🇬🇧|МО Британии|нет
2014|mo|🇨🇳|МО Китая|нет
2014|mo|🇮🇱|МО Израиля|нет
2014|mo|🇺🇦|МО Украины|нет
2014|mo|🇧🇾|МО Беларуси|нет
2014|mo|🇵🇱|МО Польши|нет
2014|mo|🇮🇷|МО Ирана|нет
2014|mo|🇸🇾|МО Сирии|нет
2014|mo|🇹🇷|МО Турции|нет
2014|mo|🇸🇦|МО Саудовской Аравии|нет
2014|mo|🇰🇵|МО КНДР|нет
2014|mo|🇮🇳|МО Индии|нет
2014|mo|🇵🇰|МО Пакистана|нет
2014|mo|🇮🇶|МО Ирака|нет
2014|vice|🇷🇺|Вице-президент России|нет
2014|vice|🇺🇸|Вице-президент США|нет
2014|vice|🇩🇪|Вице-канцлер Германии|нет
2014|vice|🇫🇷|Вице Франции|нет
2014|vice|🇬🇧|Вице Британии|нет
2014|vice|🇨🇳|Вице Китая|нет
2014|vice|🇮🇱|Вице Израиля|нет
2014|vice|🇺🇦|Вице-президент Украины|нет
2014|vice|🇧🇾|Вице-президент Беларуси|нет
2014|vice|🇵🇱|Вице-президент Польши|нет
2014|vice|🇮🇷|Вице-президент Ирана|нет
2014|vice|🇸🇾|Вице-президент Сирии|нет
2014|vice|🇹🇷|Вице-президент Турции|нет
2014|vice|🇰🇵|Вице КНДР|нет
2014|vice|🇮🇳|Вице-президент Индии|нет
2014|vice|🇵🇰|Вице-президент Пакистана|нет
2014|pmc|🇷🇺|ЧВК Вагнер|нет
2014|pmc|🇷🇺|ЧВК Редут|нет
2014|pmc|🇷🇺|ЧВК Тигры (Сирия)|нет
2014|pmc|🇷🇺|ЧВК Сова|нет
2014|pmc|🇺🇸|ЧВК Academi|нет
2014|pmc|🇺🇸|DynCorp|нет
2014|pmc|🇺🇸|MPRI|нет
2014|pmc|🇬🇧|G4S|нет
2014|pmc|🇮🇱|Global CST|нет
2014|pmc|🇹🇷|SADAT|нет
2014|terror|🇮🇶|ИГИЛ|нет
2014|terror|🇵🇸|ХАМАС|нет
2014|terror|🇱🇧|Хезболла|нет
2014|terror|🇾🇪|Хуситы|нет
2014|terror|🇦🇫|Аль-Каида|нет
2014|terror|🇸🇾|Джабхат ан-Нусра|нет
2014|terror|🇺🇦|Правый сектор|нет
2014|terror|🇱🇾|Ансар аш-Шариа|нет
2014|other|🇾🇪|Высший Революционный Комитет|нет
2014|other|🇺🇦|Азов|нет
2014|other|🇵🇸|ФАТХ|нет
2014|other|🇸🇾|Сирийская свободная армия|нет
2014|other|🇺🇦|Донбасское ополчение|нет
2014|other|🇷🇺|Народное ополчение Донбасса|нет
2014|other|🇸🇾|Курды (YPG/SDС)|нет
2014|other|🇱🇾|Ливийская национальная армия|нет

# ===== 2022 =====
2022|superpower|🇷🇺|Россия|да
2022|superpower|🇺🇸|США|да
2022|superpower|🇩🇪|Германия|да
2022|superpower|🇫🇷|Франция|да
2022|superpower|🇬🇧|Британия|да
2022|superpower|🇨🇳|Китай|да
2022|superpower|🇮🇱|Израиль|да
2022|country|🇺🇦|Украина|нет
2022|country|🇧🇾|Беларусь|нет
2022|country|🇵🇱|Польша|нет
2022|country|🇹🇼|Тайвань|нет
2022|country|🇮🇷|Иран|нет
2022|country|🇸🇾|Сирия|нет
2022|country|🇹🇷|Турция|нет
2022|country|🇸🇦|Саудовская Аравия|нет
2022|country|🇰🇵|КНДР|нет
2022|country|🇮🇳|Индия|нет
2022|country|🇵🇰|Пакистан|нет
2022|country|🇮🇶|Ирак|нет
2022|country|🇱🇧|Ливан|нет
2022|country|🇯🇵|Япония|нет
2022|country|🇰🇷|Южная Корея|нет
2022|country|🇦🇿|Азербайджан|нет
2022|country|🇦🇲|Армения|нет
2022|country|🇬🇪|Грузия|нет
2022|country|🇷🇸|Сербия|нет
2022|country|🇭🇺|Венгрия|нет
2022|country|🇷🇴|Румыния|нет
2022|country|🇱🇾|Ливия|нет
2022|country|🇾🇪|Йемен|нет
2022|country|🇪🇬|Египет|нет
2022|country|🇰🇿|Казахстан|нет
2022|country|🇺🇿|Узбекистан|нет
2022|country|🇦🇫|Афганистан|нет
2022|country|🇫🇮|Финляндия|нет
2022|country|🇸🇪|Швеция|нет
# Кастомные регионы 2022
2022|country|🇷🇺|ДНР (Донецкая Народная Республика)|нет
2022|country|🇷🇺|ЛНР (Луганская Народная Республика)|нет
2022|country|🇷🇺|Запорожская область|нет
2022|country|🇷🇺|Херсонская область|нет
2022|mo|🇷🇺|МО России|нет
2022|mo|🇺🇸|МО США|нет
2022|mo|🇩🇪|МО Германии|нет
2022|mo|🇫🇷|МО Франции|нет
2022|mo|🇬🇧|МО Британии|нет
2022|mo|🇨🇳|МО Китая|нет
2022|mo|🇮🇱|МО Израиля|нет
2022|mo|🇺🇦|МО Украины|нет
2022|mo|🇧🇾|МО Беларуси|нет
2022|mo|🇵🇱|МО Польши|нет
2022|mo|🇮🇷|МО Ирана|нет
2022|mo|🇸🇾|МО Сирии|нет
2022|mo|🇹🇷|МО Турции|нет
2022|mo|🇸🇦|МО Саудовской Аравии|нет
2022|mo|🇰🇵|МО КНДР|нет
2022|mo|🇮🇳|МО Индии|нет
2022|mo|🇵🇰|МО Пакистана|нет
2022|vice|🇷🇺|Вице-президент России|нет
2022|vice|🇺🇸|Вице-президент США|нет
2022|vice|🇩🇪|Вице-канцлер Германии|нет
2022|vice|🇫🇷|Вице Франции|нет
2022|vice|🇬🇧|Вице Британии|нет
2022|vice|🇨🇳|Вице Китая|нет
2022|vice|🇮🇱|Вице Израиля|нет
2022|vice|🇺🇦|Вице-президент Украины|нет
2022|vice|🇧🇾|Вице-президент Беларуси|нет
2022|vice|🇵🇱|Вице-президент Польши|нет
2022|vice|🇮🇷|Вице-президент Ирана|нет
2022|vice|🇸🇾|Вице-президент Сирии|нет
2022|vice|🇹🇷|Вице-президент Турции|нет
2022|vice|🇰🇵|Вице КНДР|нет
2022|vice|🇮🇳|Вице-президент Индии|нет
2022|vice|🇵🇰|Вице-президент Пакистана|нет
2022|pmc|🇷🇺|ЧВК Вагнер|нет
2022|pmc|🇷🇺|ЧВК Редут|нет
2022|pmc|🇷🇺|ЧВК Африканский корпус|нет
2022|pmc|🇷🇺|ЧВК Патриот|нет
2022|pmc|🇺🇸|ЧВК Academi|нет
2022|pmc|🇺🇸|DynCorp|нет
2022|pmc|🇬🇧|G4S|нет
2022|pmc|🇵🇱|GROM (польский спецназ)|нет
2022|pmc|🇹🇷|SADAT|нет
2022|pmc|🇺🇦|Интернациональный легион Украины|нет
2022|terror|🇮🇶|ИГИЛ|нет
2022|terror|🇵🇸|ХАМАС|нет
2022|terror|🇱🇧|Хезболла|нет
2022|terror|🇾🇪|Хуситы|нет
2022|terror|🇦🇫|Аль-Каида|нет
2022|terror|🇦🇫|Талибан|нет
2022|terror|🇷🇺|РДК (Русский добровольческий корпус)|нет
2022|terror|🇺🇦|Правый сектор|нет
2022|other|🇾🇪|Высший Революционный Комитет|нет
2022|other|🇺🇦|Азов|нет
2022|other|🇵🇸|ФАТХ|нет
2022|other|🇸🇾|Сирийская свободная армия|нет
2022|other|🇷🇺|Народное ополчение ЛДНР|нет
2022|other|🇸🇾|Курды (YPG/SDС)|нет
2022|other|🇺🇦|Крымскотатарский батальон|нет

# ===== 2025 =====
2025|superpower|🇷🇺|Россия|да
2025|superpower|🇺🇸|США|да
2025|superpower|🇩🇪|Германия|да
2025|superpower|🇫🇷|Франция|да
2025|superpower|🇬🇧|Британия|да
2025|superpower|🇨🇳|Китай|да
2025|superpower|🇮🇱|Израиль|да
2025|country|🇺🇦|Украина|нет
2025|country|🇧🇾|Беларусь|нет
2025|country|🇵🇱|Польша|нет
2025|country|🇹🇼|Тайвань|нет
2025|country|🇮🇷|Иран|нет
2025|country|🇹🇷|Турция|нет
2025|country|🇸🇦|Саудовская Аравия|нет
2025|country|🇰🇵|КНДР|нет
2025|country|🇮🇳|Индия|нет
2025|country|🇵🇰|Пакистан|нет
2025|country|🇮🇶|Ирак|нет
2025|country|🇸🇾|Сирия|нет
2025|country|🇱🇧|Ливан|нет
2025|country|🇯🇵|Япония|нет
2025|country|🇰🇷|Южная Корея|нет
2025|country|🇦🇿|Азербайджан|нет
2025|country|🇦🇲|Армения|нет
2025|country|🇬🇪|Грузия|нет
2025|country|🇷🇸|Сербия|нет
2025|country|🇭🇺|Венгрия|нет
2025|country|🇷🇴|Румыния|нет
2025|country|🇱🇾|Ливия|нет
2025|country|🇾🇪|Йемен|нет
2025|country|🇪🇬|Египет|нет
2025|country|🇰🇿|Казахстан|нет
2025|country|🇦🇫|Афганистан|нет
2025|country|🇫🇮|Финляндия|нет
2025|country|🇸🇪|Швеция|нет
2025|country|🇬🇦|Габон|нет
2025|country|🇲🇱|Мали|нет
2025|country|🇧🇫|Буркина-Фасо|нет
2025|country|🇳🇪|Нигер|нет
2025|country|🇸🇩|Судан|нет
2025|country|🇸🇴|Сомали|нет
2025|country|🇪🇹|Эфиопия|нет
# Кастомные регионы 2025
2025|country|🇷🇺|ДНР (Донецкая Народная Республика)|нет
2025|country|🇷🇺|ЛНР (Луганская Народная Республика)|нет
2025|country|🇷🇺|Запорожская область|нет
2025|country|🇷🇺|Херсонская область|нет
2025|mo|🇷🇺|МО России|нет
2025|mo|🇺🇸|МО США|нет
2025|mo|🇩🇪|МО Германии|нет
2025|mo|🇫🇷|МО Франции|нет
2025|mo|🇬🇧|МО Британии|нет
2025|mo|🇨🇳|МО Китая|нет
2025|mo|🇮🇱|МО Израиля|нет
2025|mo|🇺🇦|МО Украины|нет
2025|mo|🇧🇾|МО Беларуси|нет
2025|mo|🇵🇱|МО Польши|нет
2025|mo|🇮🇷|МО Ирана|нет
2025|mo|🇹🇷|МО Турции|нет
2025|mo|🇸🇦|МО Саудовской Аравии|нет
2025|mo|🇰🇵|МО КНДР|нет
2025|mo|🇮🇳|МО Индии|нет
2025|mo|🇵🇰|МО Пакистана|нет
2025|vice|🇷🇺|Вице-президент России|нет
2025|vice|🇺🇸|Вице-президент США|нет
2025|vice|🇩🇪|Вице-канцлер Германии|нет
2025|vice|🇫🇷|Вице Франции|нет
2025|vice|🇬🇧|Вице Британии|нет
2025|vice|🇨🇳|Вице Китая|нет
2025|vice|🇮🇱|Вице Израиля|нет
2025|vice|🇺🇦|Вице-президент Украины|нет
2025|vice|🇧🇾|Вице-президент Беларуси|нет
2025|vice|🇵🇱|Вице-президент Польши|нет
2025|vice|🇮🇷|Вице-президент Ирана|нет
2025|vice|🇹🇷|Вице-президент Турции|нет
2025|vice|🇰🇵|Вице КНДР|нет
2025|vice|🇮🇳|Вице-президент Индии|нет
2025|vice|🇵🇰|Вице-президент Пакистана|нет
2025|pmc|🇷🇺|ЧВК Вагнер|нет
2025|pmc|🇷🇺|ЧВК Редут|нет
2025|pmc|🇷🇺|ЧВК Африканский корпус|нет
2025|pmc|🇷🇺|ЧВК Патриот|нет
2025|pmc|🇺🇸|ЧВК Academi|нет
2025|pmc|🇺🇸|DynCorp|нет
2025|pmc|🇬🇧|G4S|нет
2025|pmc|🇹🇷|SADAT|нет
2025|pmc|🇺🇦|Интернациональный легион Украины|нет
2025|pmc|🇮🇱|Global CST|нет
2025|terror|🇮🇶|ИГИЛ|нет
2025|terror|🇵🇸|ХАМАС|нет
2025|terror|🇱🇧|Хезболла|нет
2025|terror|🇾🇪|Хуситы|нет
2025|terror|🇦🇫|Аль-Каида|нет
2025|terror|🇦🇫|Талибан|нет
2025|terror|🇷🇺|РДК (Русский добровольческий корпус)|нет
2025|terror|🇸🇴|Аш-Шабаб|нет
2025|terror|🇳🇬|Боко Харам|нет
2025|other|🇾🇪|Высший Революционный Комитет|нет
2025|other|🇺🇦|Азов|нет
2025|other|🇵🇸|ФАТХ|нет
